IM_self,IM_impurity,MCA_chemical,MCA_self,MCA_impurity
DE_minimum_Number,DE_minimum_Number,DE_minimum_Number,DE_minimum_Number,DE_minimum_Number
DE_minimum_MendeleevNumber,DE_minimum_MendeleevNumber,DE_minimum_MendeleevNumber,DE_minimum_MendeleevNumber,DE_minimum_MendeleevNumber
DE_minimum_MeltingT,DE_minimum_MeltingT,DE_minimum_NsValence,DE_minimum_MeltingT,DE_minimum_MeltingT
DE_minimum_CovalentRadius,DE_minimum_Column,DE_minimum_NdUnfilled,DE_minimum_NsValence,DE_minimum_Column
DE_minimum_Electronegativity,DE_minimum_CovalentRadius,DM0-norm,DE_minimum_NpValence,DE_minimum_Electronegativity
DE_minimum_NsValence,DE_minimum_Electronegativity,DM2-norm,DE_minimum_NdValence,DE_minimum_NsValence
DE_minimum_NpValence,DE_minimum_NsValence,DM_maximum_Number,DE_minimum_NpUnfilled,DE_minimum_NdValence
DE_minimum_NdValence,DE_minimum_NpValence,DM_range_Number,DE_minimum_NfUnfilled,DE_minimum_NfValence
DE_minimum_NdUnfilled,DE_minimum_NdValence,DM_avg_dev_Number,DE_minimum_GSvolume_pa,DE_minimum_NpUnfilled
DE_minimum_NUnfilled,DE_minimum_NpUnfilled,DM_range_MendeleevNumber,DE_minimum_GSbandgap,DE_minimum_NfUnfilled
DE_minimum_GSvolume_pa,DE_minimum_NdUnfilled,DM_mean_MendeleevNumber,DE_minimum_GSmagmom,DE_minimum_NUnfilled
DE_minimum_GSbandgap,DE_minimum_NfUnfilled,DM_mean_Electronegativity,DE_minimum_SpaceGroupNumber,DE_minimum_GSvolume_pa
DE_minimum_GSmagmom,DE_minimum_NUnfilled,DM_minimum_NsValence,DM0-norm,DE_minimum_GSbandgap
DE_minimum_SpaceGroupNumber,DE_minimum_GSvolume_pa,DM_mode_NpValence,DM2-norm,DE_minimum_GSmagmom
DM_avg_dev_Number,DE_minimum_GSbandgap,DM_range_NdValence,DM_minimum_Number,DE_minimum_SpaceGroupNumber
DM_avg_dev_MendeleevNumber,DE_minimum_GSmagmom,DM_avg_dev_NValence,DM_maximum_Number,DM0-norm
DM_avg_dev_AtomicWeight,DE_minimum_SpaceGroupNumber,DM_avg_dev_GSmagmom,DM_range_Number,DM2-norm
DM_avg_dev_MeltingT,DM_minimum_Number,DM_minimum_SpaceGroupNumber,DM_avg_dev_Number,DM_minimum_Number
DM_avg_dev_Column,DM_avg_dev_Number,DM_maximum_SpaceGroupNumber,DM_maximum_MendeleevNumber,DM_maximum_Number
DM_avg_dev_Row,DM_minimum_MendeleevNumber,Temperature,DM_range_MendeleevNumber,DM_avg_dev_Number
